PC1,PC2,PC3
-1.849220,0.999642,-0.401458
-1.853783,0.938587,-0.436945
-1.862739,0.870460,-0.428726
-1.871259,0.830093,-0.466760
-1.895826,0.770467,-0.504624
-1.900366,0.705442,-0.488561
-1.902875,0.642243,-0.522060
-1.854108,0.889344,-0.467214
-1.902764,0.719949,-0.538796
-1.829919,1.015932,-0.500958
-1.833633,0.956234,-0.511125
-1.848760,0.893146,-0.534328
-1.880875,0.841512,-0.579263
-1.895665,0.802582,-0.569894
-1.892672,0.742759,-0.601256
-1.848274,0.883382,-0.630767
-1.862714,0.829223,-0.660221
-1.914470,0.116237,-0.109501
-1.914867,0.066512,-0.139241
-1.927632,0.011378,-0.168361
-1.906607,0.135758,-0.148237
-1.899684,0.219294,-0.180536
-1.895204,0.157392,-0.209942
-1.905188,0.097261,-0.198441
-1.913784,0.046099,-0.234807
-1.921369,-0.000479,-0.275528
-1.871142,0.310420,-0.254888
-1.866972,0.245867,-0.270735
-1.877728,0.190945,-0.275525
-1.885516,0.121636,-0.300231
-1.898559,0.065437,-0.291636
-1.903678,0.016186,-0.330047
-1.916139,-0.101035,-0.349385
-1.916106,-0.186302,-0.336835
-1.909529,-0.039044,-0.362112
-1.907922,-0.167464,-0.374666
-1.831143,0.377671,-0.304100
-1.835196,0.318439,-0.314921
-1.838562,0.251646,-0.330339
-1.855424,0.216038,-0.324700
-1.859002,0.153294,-0.358061
-1.876002,0.040256,-0.381070
-1.887684,-0.026220,-0.412720
-1.893442,-0.094379,-0.414207
-1.885477,-0.144808,-0.430642
-1.855177,0.083562,-0.385807
-1.830976,0.060406,-0.446336
-1.844269,-0.011796,-0.481787
-1.868300,-0.066983,-0.462270
-1.847254,-0.129863,-0.498475
-1.930273,-0.279872,-0.733639
-1.910383,-0.321726,-0.826735
-1.860546,-0.330260,-0.876912
-1.897957,-0.376453,-0.912813
-1.902189,-0.420290,-0.990715
-1.867601,-0.446752,-1.005277
-1.919706,-0.464167,-1.056993
-1.868686,-0.501032,-1.079787
-1.915774,-0.542494,-1.123949
-1.852798,-0.572536,-1.139368
-1.860142,-0.661074,-1.189751
-1.934077,-0.178095,-0.712319
-1.925090,-0.225751,-0.736312
-1.905778,-0.211792,-0.792208
-1.906233,-0.278699,-0.786069
-1.882913,-0.200662,-0.852147
-1.880213,-0.272042,-0.837204
-1.859937,-0.253546,-0.884771
-1.857107,-0.181293,-0.913323
-1.929113,-0.640998,-1.173420
-1.926252,-0.780959,-1.190009
-1.942241,-0.832021,-1.175891
-1.915735,-0.899878,-1.178544
-1.857763,-0.782680,-1.214583
-1.886423,-1.009673,-1.159008
-1.867517,-0.902877,-1.204278
-1.905390,-1.140933,-0.334272
-1.844269,-1.211194,-0.270740
-1.924806,-1.168793,-0.410382
-1.864793,-1.247306,-0.358732
-1.942237,-1.199339,-0.488771
-1.902979,-1.252215,-0.457439
-1.869093,-1.288091,-0.424632
-1.891329,-1.301390,-0.501967
-1.894605,-1.320052,-0.560703
-1.893393,-1.335007,-0.610730
-1.893427,-1.350652,-0.665260
-1.850487,-1.400263,-0.627737
-1.936595,-1.281569,-0.773243
-1.892072,-1.347826,-0.745203
-1.868639,-1.380246,-0.709005
-1.906568,-1.288635,-0.840677
-1.849948,-1.370721,-0.794362
-1.927015,-1.207744,-0.946482
-1.877408,-1.288635,-0.913000
-1.865083,-1.320888,-0.875552
-1.936243,-1.117400,-1.037367
-1.893037,-1.210988,-1.008157
-1.932380,-1.016172,-1.111953
-1.893680,-1.113669,-1.088509
-1.850552,-1.207674,-1.059227
-1.846729,-1.106334,-1.134198
-1.889755,-1.097243,-0.264661
-1.895417,-1.119112,-0.293180
-1.937126,-1.010409,-0.299408
-1.938274,-1.043608,-0.333145
-1.841764,-0.624223,-0.129981
-1.857549,-0.664135,-0.184261
-1.856712,-0.480174,-0.085065
-1.885450,-0.522556,-0.137989
-1.910738,-0.560337,-0.208502
-1.850155,-0.373988,-0.053507
-1.887809,-0.397765,-0.104994
-1.908211,-0.415407,-0.138021
-1.885422,-0.302596,-0.086566
-1.907409,-0.343613,-0.121465
-1.926768,-0.316269,-0.151223
-1.846119,-0.250538,-0.040150
-1.882760,-0.166652,-0.066542
-1.908045,-0.213207,-0.103551
-1.929197,-0.191831,-0.135998
-1.856207,-0.122111,-0.030761
-1.845872,-0.011203,-0.005771
-1.882378,-0.038013,-0.049600
-1.912986,-0.056144,-0.090426
-1.929587,-0.067251,-0.124224
-1.914008,0.062390,-0.074910
-1.844628,-0.337226,0.418902
-1.883890,-0.368655,0.373223
-1.883925,-0.239610,0.390809
-1.766156,0.279303,0.492040
-1.780921,0.239206,0.508738
-1.796628,0.355946,0.450742
-1.734075,0.338408,0.463760
-1.813833,0.587257,-0.038288
-1.766206,0.589525,-0.078854
-1.802481,0.547016,-0.104073
-1.725490,0.663459,-0.039909
-1.745776,0.620193,-0.064595
-1.764034,0.542221,-0.141660
-1.724578,0.839237,0.172892
-1.744487,0.800260,0.136718
-1.761107,0.770648,0.135980
-1.791645,0.714068,0.096044
-1.775029,0.657325,-0.000305
-1.800161,0.617569,-0.018434
-1.737701,0.722218,0.037651
-1.769816,-0.011283,-0.023860
-1.756529,0.054559,-0.024886
-1.787462,0.351097,0.116556
-1.755910,0.423745,0.156558
-1.736609,0.521219,0.191045
-1.791080,0.484491,0.137919
-1.778120,0.598826,0.165439
-1.818457,0.569533,0.120561
-1.734403,0.648019,0.210815
-1.765549,0.714536,0.180654
-1.798365,0.662646,0.145762
-1.725637,0.771217,0.225821
-1.752019,0.783344,0.190170
-1.803740,0.935328,-0.158106
-1.756705,1.028693,-0.156829
-1.810106,1.019201,-0.212187
-1.760453,1.100066,-0.204496
-1.800817,1.101037,-0.272413
-1.755757,1.149860,-0.244795
-1.742414,1.190598,-0.286971
-1.791783,1.153433,-0.326601
-1.817004,1.100397,-0.377978
-1.734307,1.216960,-0.313761
-1.778992,1.182670,-0.359928
-1.747978,1.194739,-0.398778
-1.781673,1.132372,-0.435373
-1.734500,1.159971,-0.491854
-1.759129,1.140825,-0.482523
-1.779217,1.110952,-0.529415
-1.729650,1.102316,-0.592167
-1.796715,1.034619,-0.559643
-1.811754,0.939461,-0.585838
-1.742848,1.027497,-0.620535
-1.771630,0.955491,-0.645746
-1.808632,0.894167,-0.681901
-1.742482,0.990088,-0.670804
-1.741146,0.951599,-0.720856
-1.752111,0.899687,-0.738006
-1.723363,1.008999,-0.718650
-1.772771,0.840377,-0.757264
-1.772762,0.789563,-0.778881
-1.788488,0.716436,-0.796871
-1.811303,0.629640,-0.830601
-1.817305,0.556678,-0.844928
-1.784575,0.520688,-0.910442
-1.729433,0.719274,-0.850802
-1.753471,0.633896,-0.885699
-1.765289,0.560919,-0.913987
-1.790591,0.451231,-0.945025
-1.798676,0.332800,-0.966445
-1.735848,0.525086,-0.972424
-1.744947,0.455354,-0.989649
-1.751996,0.335936,-1.010221
-1.764400,-0.186978,-0.643398
-1.810313,0.062208,-0.472708
-1.817278,-0.021626,-0.484830
-1.734913,-0.154810,-0.586252
-1.762975,-0.045248,-0.523801
-1.815026,-0.085310,-0.565717
-1.770522,-0.104056,-0.551305
-1.815753,-0.148688,-0.645455
-1.809226,-0.219163,-0.695704
-1.825857,0.172243,-0.484483
-1.791059,0.020222,-0.485869
-1.789813,0.186105,-0.538149
-1.767128,0.075819,-0.530341
-1.770954,0.025426,-0.511061
-1.746289,0.192511,-0.584872
-1.732718,0.098964,-0.580642
-1.831095,-0.480234,-0.754524
-1.809390,-0.590721,-0.737584
-1.733752,-0.556970,-0.750275
-1.779806,-0.456517,-0.759835
-1.769030,-0.350243,-0.744395
-1.807744,-0.307280,-0.738081
-1.732591,-0.301521,-0.705940
-1.810872,-0.892477,0.148194
-1.800882,-0.944345,0.073315
-1.773229,-0.940847,0.128221
-1.825121,-0.978909,-0.029096
-1.797325,-0.974554,0.037014
-1.736872,-1.041281,0.041671
-1.819437,-1.013352,-0.115987
-1.794936,-1.027428,-0.067245
-1.738852,-1.071466,-0.033040
-1.766433,-1.062121,-0.092416
-1.810720,-1.031809,-0.213664
-1.788688,-1.054852,-0.164418
-1.775257,-1.048586,-0.267426
-1.791346,-1.020832,-0.308803
-1.811917,-0.974536,-0.397371
-1.757444,-1.037178,-0.349402
-1.834565,-0.896242,-0.505991
-1.787997,-0.960797,-0.475065
-1.767807,-0.995173,-0.443303
-1.791297,-0.892084,-0.555762
-1.750270,-0.956802,-0.515154
-1.792797,-0.795570,-0.637445
-1.739329,-0.880753,-0.595328
-1.771302,-0.686168,-0.714754
-1.744419,-0.972819,0.126390
-1.784112,-0.857872,-0.224207
-1.773336,-0.833159,-0.178129
-1.765222,-0.682969,-0.056520
-1.769721,-0.798299,-0.143676
-1.742166,-0.622368,0.002828
-1.765763,-0.635134,-0.027140
-1.801731,-0.691162,-0.114805
-1.819404,-0.729451,-0.167012
-1.729548,-0.535142,0.042602
-1.770072,-0.554724,-0.006034
-1.809609,-0.575751,-0.055729
-1.829191,-0.594686,-0.089460
-1.770342,-0.443634,0.019631
-1.813228,-0.470135,-0.032018
-1.728449,-0.421515,0.040622
-1.808913,-0.335295,-0.014289
-1.756774,-0.310163,-0.002969
-1.780263,-0.231409,-0.015691
-1.825581,-0.192552,-0.024849
-1.796371,-0.147703,-0.017883
-1.779768,-0.083874,0.001184
-1.816081,-0.061594,0.000773
-1.723048,0.094174,0.126247
-1.759874,0.064797,0.090593
-1.806064,0.050711,0.043693
-1.753548,0.194737,0.107268
-1.795933,0.168053,0.064634
-1.709797,0.180191,0.575080
-1.626936,0.224727,0.590892
-1.695876,0.221757,0.563058
-1.697570,0.276631,0.519857
-1.628262,0.317383,0.537448
-1.680913,0.320667,0.495938
-1.632330,0.855160,0.072239
-1.651929,0.810728,0.048183
-1.668388,0.779948,0.028741
-1.694388,0.726787,-0.002442
-1.639899,0.702209,-0.033744
-1.672575,0.659768,-0.060599
-1.681144,0.635141,-0.085723
-1.716558,0.599861,-0.114845
-1.663063,0.706285,-0.129381
-1.660960,0.988814,0.242422
-1.677338,0.957441,0.255247
-1.636040,1.032552,0.279032
-1.696598,0.899572,0.207581
-1.622938,0.994130,0.202545
-1.627617,0.966102,0.177694
-1.651717,0.913659,0.153864
-1.679754,0.849221,0.115821
-1.698094,0.805606,0.090717
-1.712720,0.774271,0.071153
-1.650084,0.983278,0.306621
-1.628440,0.962018,0.338165
-1.676688,0.013296,0.035731
-1.722069,-0.008747,-0.003984
-1.638495,0.056271,0.078102
-1.665426,0.140930,0.060130
-1.706105,0.111858,0.015844
-1.628845,0.186134,0.104025
-1.623566,0.287904,0.116765
-1.655588,0.234548,0.077282
-1.698144,0.542428,0.224396
-1.659093,0.595214,0.269123
-1.623689,0.647845,0.311788
-1.692720,0.669716,0.251776
-1.646557,0.705347,0.299201
-1.682940,0.786653,0.273386
-1.637667,0.843231,0.322947
-1.667944,0.904662,0.296021
-1.704094,0.860138,0.249924
-1.710865,0.659369,0.252105
-1.656894,0.729837,0.263504
-1.705937,0.705914,0.214146
-1.647024,0.792994,0.218171
-1.709106,0.776139,0.166780
-1.655399,0.823452,0.176163
-1.701857,0.818136,0.129612
-1.620569,0.851060,0.141287
-1.675433,0.842759,0.086148
-1.710062,0.781977,0.048939
-1.626379,0.839011,0.041707
-1.669721,0.800650,-0.003444
-1.705653,0.743309,-0.041676
-1.645665,0.830876,-0.048300
-1.685285,0.796926,-0.107396
-1.710229,0.731318,-0.150988
-1.635505,0.865444,-0.083137
-1.664038,0.839505,-0.112781
-1.650375,0.844654,-0.168477
-1.665486,0.789688,-0.218716
-1.647808,0.719987,-0.309249
-1.711887,0.698911,-0.196494
-1.685449,0.722673,-0.255578
-1.698038,0.664859,-0.246987
-1.704601,0.623250,-0.282980
-1.674375,0.659857,-0.341077
-1.685622,0.624115,-0.356673
-1.692081,0.567549,-0.369781
-1.701898,0.514403,-0.385711
-1.630635,0.681766,-0.385830
-1.644269,0.633257,-0.406077
-1.658596,0.584569,-0.425750
-1.710102,0.920557,-0.807719
-1.714353,0.855706,-0.827599
-1.719582,0.794948,-0.827306
-1.670286,0.978789,-0.853008
-1.681066,0.927635,-0.862274
-1.686620,0.873301,-0.889484
-1.694566,0.800407,-0.874511
-1.685623,0.745042,-0.902361
-1.700552,0.695855,-0.892562
-1.702893,0.632725,-0.925665
-1.723489,0.559472,-0.955560
-1.639257,0.982525,-0.912806
-1.661915,0.886726,-0.944326
-1.660837,0.758762,-0.957418
-1.670251,0.646163,-0.975191
-1.675925,0.583992,-1.007692
-1.691188,0.536328,-1.009635
-1.706374,0.471910,-1.037194
-1.708909,0.342623,-1.057254
-1.648185,0.941761,-0.950616
-1.656264,0.822820,-0.971865
-1.652868,0.692581,-0.983131
-1.702628,0.428720,-1.064760
-1.620192,0.951452,-0.990003
-1.624136,0.907859,-0.998773
-1.630507,0.844009,-1.016973
-1.632767,0.767374,-1.011605
-1.630664,0.715463,-1.039075
-1.647131,0.669081,-1.041989
-1.658462,0.600321,-1.065519
-1.665282,0.491621,-1.088119
-1.670564,0.427747,-1.108615
-1.672920,0.348135,-1.108631
-1.656105,0.558436,-1.094390
-1.624249,0.627617,-1.123301
-1.627972,0.561670,-1.142066
-1.632974,0.500915,-1.141692
-1.632694,0.430265,-1.153873
-1.629976,0.348473,-1.160101
-1.717188,-0.034849,-0.571745
-1.703682,-0.100814,-0.581961
-1.642585,-0.165711,-0.626133
-1.631809,-0.249334,-0.619284
-1.678956,-0.220560,-0.601513
-1.723729,0.040839,-0.576691
-1.702646,0.198912,-0.631517
-1.694488,0.110776,-0.632479
-1.688040,0.055787,-0.631212
-1.677614,-0.019579,-0.627601
-1.658937,-0.110191,-0.624648
-1.660365,0.206564,-0.679416
-1.653699,0.120516,-0.681879
-1.646580,0.064686,-0.680087
-1.628385,-0.012973,-0.686212
-1.688902,-0.649920,-0.726928
-1.669744,-0.518124,-0.732151
-1.652337,-0.508473,-0.725283
-1.718041,-0.440269,-0.747123
-1.631797,-0.463613,-0.695629
-1.673357,-0.395290,-0.707043
-1.638794,-0.357823,-0.643818
-1.687795,-0.300003,-0.661750
-1.705609,-0.241210,-0.633853
-1.711728,-1.486054,-0.444090
-1.685892,-1.521433,-0.473951
-1.739686,-1.496927,-0.602938
-1.712234,-1.515365,-0.546226
-1.655754,-1.542931,-0.523646
-1.728576,-1.501480,-0.694275
-1.698307,-1.528199,-0.648852
-1.730273,-1.474767,-0.781851
-1.669429,-1.523153,-0.748907
-1.664997,-1.539438,-0.698034
-1.715789,-1.452033,-0.860287
