PC1,PC2,PC3
-0.367942,0.180281,0.050800
-0.357325,0.214248,0.080751
-0.375314,0.170972,0.043040
-0.370288,0.190968,0.068598
-0.359442,0.090457,0.072130
-0.373562,0.084697,0.068694
-0.370092,0.096852,0.071381
-0.369287,0.120314,0.075725
-0.375911,0.110057,0.069026
-0.362119,0.126114,0.082235
-0.374724,0.133002,0.072195
-0.358472,0.150195,0.088152
-0.365314,0.143570,0.081220
-0.375366,0.157348,0.072737
-0.358056,0.172650,0.090401
-0.367339,0.168372,0.081322
-0.363815,0.191395,0.085052
-0.372607,0.183299,0.074245
-0.367357,0.195960,0.078652
-0.356638,0.213289,0.091279
-0.365248,0.203581,0.076387
-0.359857,0.179777,-0.042816
-0.366265,0.170084,-0.052743
-0.372105,0.161349,-0.060454
-0.360803,0.176836,-0.062608
-0.361218,0.188991,-0.068278
-0.365989,0.162967,-0.071511
-0.357225,0.204381,-0.073380
-0.361408,0.195521,-0.077432
-0.364060,0.182991,-0.086761
-0.359825,0.202736,-0.084999
-0.360305,0.198499,-0.103348
-0.356255,0.206217,-0.115137
-0.369004,0.152371,-0.074079
-0.371066,0.147023,-0.078385
-0.365002,0.167952,-0.083417
-0.366450,0.159455,-0.090335
-0.368098,0.147339,-0.094192
-0.370341,0.137287,-0.093237
-0.372266,0.123878,-0.099131
-0.364695,0.172567,-0.092570
-0.362193,0.190494,-0.098562
-0.362924,0.178038,-0.104699
-0.364552,0.164756,-0.102256
-0.366093,0.156321,-0.109166
-0.370724,0.144085,-0.115862
-0.371508,0.131525,-0.111922
-0.371839,0.118676,-0.117629
-0.362856,0.167977,-0.109950
-0.371944,0.133709,-0.121886
-0.358338,0.192425,-0.118048
-0.358937,0.180569,-0.119266
-0.361738,0.167853,-0.123030
-0.367853,0.157084,-0.131238
-0.370674,0.149539,-0.128970
-0.369942,0.137393,-0.134286
-0.361509,0.164686,-0.141657
-0.364186,0.153643,-0.146746
-0.373604,0.020766,-0.030645
-0.373550,0.010618,-0.035789
-0.375902,-0.000607,-0.040793
-0.372059,0.024103,-0.038398
-0.370826,0.040093,-0.045731
-0.369800,0.027567,-0.050633
-0.371648,0.015896,-0.047661
-0.373183,0.005364,-0.054105
-0.374527,-0.004320,-0.061460
-0.365342,0.057059,-0.061247
-0.364386,0.044189,-0.063476
-0.366376,0.033329,-0.063746
-0.367733,0.019386,-0.067691
-0.370180,0.008448,-0.065346
-0.371038,-0.001734,-0.072199
-0.373226,-0.025014,-0.074503
-0.373074,-0.041591,-0.070961
-0.372038,-0.012999,-0.077751
-0.371464,-0.038371,-0.078525
-0.357608,0.069685,-0.071519
-0.358269,0.057909,-0.072874
-0.358780,0.044588,-0.075025
-0.362013,0.037647,-0.073541
-0.362551,0.024891,-0.079235
-0.365624,0.002373,-0.082323
-0.367737,-0.011106,-0.087667
-0.368731,-0.024521,-0.087098
-0.367059,-0.034621,-0.089608
-0.361635,0.010847,-0.083714
-0.356796,0.005546,-0.095083
-0.359213,-0.009110,-0.101102
-0.363819,-0.019725,-0.096697
-0.359552,-0.032508,-0.102836
-0.375179,-0.065148,-0.146985
-0.371106,-0.074545,-0.164466
-0.361301,-0.076799,-0.173906
-0.368471,-0.086396,-0.180446
-0.369118,-0.096020,-0.195050
-0.362302,-0.101350,-0.197397
-0.372373,-0.105521,-0.207449
-0.362322,-0.112979,-0.211192
-0.371373,-0.121768,-0.219444
-0.359013,-0.127766,-0.221789
-0.360220,-0.145816,-0.230476
-0.376138,-0.044900,-0.144170
-0.374266,-0.054555,-0.148180
-0.370455,-0.052510,-0.159153
-0.370426,-0.065563,-0.157096
-0.365943,-0.051071,-0.170857
-0.365299,-0.064886,-0.167015
-0.361321,-0.061841,-0.176423
-0.360869,-0.048022,-0.182899
-0.373732,-0.141774,-0.227848
-0.372887,-0.169458,-0.229258
-0.375927,-0.179321,-0.225919
-0.370627,-0.192636,-0.225446
-0.359493,-0.170009,-0.233728
-0.364722,-0.213893,-0.220103
-0.361180,-0.193488,-0.230208
-0.369171,-0.228955,-0.058084
-0.357195,-0.241822,-0.044563
-0.372817,-0.235443,-0.072611
-0.361023,-0.250089,-0.061301
-0.376067,-0.242490,-0.087534
-0.368344,-0.252398,-0.080596
-0.361705,-0.258963,-0.073606
-0.365924,-0.262619,-0.088569
-0.366457,-0.267051,-0.099766
-0.366131,-0.270631,-0.109297
-0.366039,-0.274418,-0.119699
-0.357615,-0.283604,-0.111581
-0.374462,-0.262330,-0.141777
-0.365684,-0.274897,-0.135282
-0.361096,-0.280758,-0.127722
-0.368509,-0.264547,-0.154673
-0.357361,-0.279971,-0.144368
-0.372524,-0.250075,-0.176385
-0.362730,-0.265443,-0.168619
-0.360313,-0.271264,-0.160865
-0.374383,-0.233532,-0.195266
-0.365814,-0.251465,-0.188193
-0.373730,-0.214628,-0.211061
-0.366026,-0.233401,-0.205084
-0.357467,-0.251411,-0.197991
-0.356821,-0.232487,-0.213865
-0.366292,-0.219448,-0.045044
-0.367320,-0.224117,-0.050336
-0.375657,-0.202926,-0.053124
-0.375774,-0.209883,-0.059261
-0.357986,-0.124756,-0.024758
-0.360928,-0.133321,-0.034865
-0.361235,-0.095911,-0.017946
-0.366694,-0.104966,-0.027814
