PC1,PC2,PC3
2.063417,-0.079408,-0.274767
2.009424,-0.069266,-0.283184
1.963575,-0.111864,-0.277235
-1.491955,1.314330,0.555094
-1.430500,1.301168,0.409134
-1.463800,1.303559,0.356967
-1.514885,1.317805,0.341841
-1.550538,1.282860,0.296584
-0.109183,-0.089396,-1.295356
1.508864,0.174690,-0.889662
-0.464175,-0.063299,-1.429223
-1.642887,1.082985,0.198925
-1.661930,1.036441,0.177450
-1.677993,1.004031,0.159728
-1.703304,0.948175,0.131570
-1.733590,0.881634,0.097701
-1.753334,0.836219,0.075506
-1.909343,0.610216,-0.092504
-0.775647,0.335434,-1.342888
0.249734,0.223968,-0.855691
1.031852,0.820264,-0.635440
2.688255,-1.426008,-0.069559
1.716620,-0.445044,-0.929964
0.629088,1.179599,-0.510453
0.726687,1.588274,-0.470993
-0.975728,-0.707357,-1.213145
1.499217,0.046271,-1.006423
1.593340,-0.130597,-1.102400
1.158983,1.369166,0.381684
-1.085938,-1.036837,-0.953867
-0.496399,0.768024,-1.037371
1.642295,-0.207726,-0.688081
1.618351,-0.363900,-0.720766
-0.463780,1.182295,0.482812
0.572925,-0.880386,0.563268
0.852245,1.834360,-0.529461
1.463860,1.447554,-0.368114
1.543003,0.435375,-0.496240
2.674557,-1.344833,0.126848
-0.197461,0.440983,-1.186245
0.477602,0.055997,-0.581102
0.811732,0.073028,-0.330412
1.161466,1.630267,-0.565762
2.059098,0.025558,-0.246932
-0.858257,1.434895,0.938820
-1.114821,1.091805,0.671789
0.214758,0.203411,-0.912383
0.520545,-0.149866,-0.555781
0.613920,-0.176683,-0.415725
-1.366346,1.272928,0.411642
-1.386644,1.257543,0.372287
-1.429635,1.257880,0.318681
-1.509284,1.265530,0.268548
-1.529842,1.207263,0.228036
-1.555141,1.131896,0.197473
-1.596343,1.083267,0.178908
-1.578941,1.046609,0.161942
-1.615887,0.988911,0.136199
-1.648340,0.921762,0.103127
-1.680466,0.876962,0.078444
-1.688646,0.850392,0.054832
-1.723563,0.812619,0.027332
-1.770376,0.752405,0.003367
-1.813825,0.711583,-0.039944
-1.851349,0.689684,-0.103556
-0.317780,0.575694,-1.166474
-0.644859,0.581177,-1.196781
1.296186,1.607328,-0.446375
1.239080,1.672227,-0.446491
1.194184,1.664149,-0.512077
0.660999,0.588438,-0.429419
0.778798,2.065258,-0.307148
1.301450,0.447910,-0.686167
-0.637940,-1.336161,-0.851995
-1.252179,-0.661829,-1.087612
0.177358,-1.285152,-0.236425
0.962819,-0.150837,1.065928
0.946841,-0.208590,1.036320
0.915783,-0.272220,0.999866
-0.649928,-0.000869,-1.447607
1.433985,0.038560,-0.965291
0.157413,-0.002338,-1.046913
0.778663,1.912741,-0.477661
-0.105903,0.034075,-1.280981
1.629153,0.436854,-0.396079
1.922736,-0.012729,-0.285096
-0.750309,1.312980,-0.491233
0.701455,0.013570,-0.397305
-0.881836,1.067635,-0.896977
0.064983,0.426423,-0.969819
0.107676,0.374815,-0.956568
-1.760511,-0.451074,-0.884433
-0.829256,1.389850,0.900192
-0.873047,1.353744,0.849010
-0.906576,1.303185,0.811423
-0.960975,1.261330,0.779922
-0.999733,1.210784,0.739772
-1.037635,1.157972,0.700881
-1.067334,1.132843,0.671162
-1.061221,1.093861,0.649398
-1.094698,1.063293,0.621558
1.797645,0.287494,-0.299637
1.643346,1.257517,-0.229950
1.398249,1.221192,-0.574009
1.482216,1.176073,-0.505474
